userName;score;at;content;
Fauzi Pratama;2;20/10/2023 14:09;"Untuk transaksi via transfer dan scan Qris sering gangguan sehingga menghambat proses transaksi, perlu beberapa kali percobaan baru bisa digunakan. Untuk cek saldo dana bisnis terkadang eror muncul "" coba lagi"" sangat mrnggangu. Aplikasi jg terasa berat. Beda dibanding si hijau yg enteng dan smooth. Tolong di perbaiki.";
Rio;2;22/10/2023 03:36;Aplikasi bagus.. Cuman untuk proses pengiriman terlalu berat sering tidak muncul tombol lanjut dan bayar nya.. lama sekali menunggu tombol bayar nya muncul. Terkadang harus di uninstall dan download lagi baru bisa..;
CT CELL;4;27/10/2023 11:15;Alhamdulillah kemarin atau beberapa bulan lalu transaksi saya pending dan sudah teratasi dan uang kembali. Sejauh ini lumayan dalam menggunakan DANA. TERBANTU. Namun untuk gratis top sekarang hanya 6xdalam sebulan dlunya 10x . Kalo bisa ya ditingkatkan yg lebih baik.;
Eka Nurfitriana;1;25/10/2023 22:44;Udah beberapa kali mau upgrade ke premium selalu gagal sedangkan saldo sudah terisi dan memang butuh cepat untuk digunakan uang nya.. sudah coba chat diana di apk tapi malah kaya boot yang tdk ada solusi untuk menyelesaikan masalah, terlalu banyak dokumen yang harus diunggah proses nya sulit.. untuk waktu upgrade juga memakan waktu yang lama;
Samsil Rohman;4;07/10/2023 03:55;Aplikasi bagus... Cuman untuk proses pengiriman terlalu berat sering tidak muncul tombol lanjut dan bayar nya.. lama sekali menunggu tombol bayar nya muncul. Terkadang harus di uninstall dan download lagi baru bisa..;
Bima Hanggara;1;10/10/2023 02:41;Saya sudah pake dana udah hampir 10 tahun , tp untuk 5 buln terakhir, aplikasi agak berat dan lemot , untuk teraksaksi atau transfer, terkadang makin lama makin lemot dan lambat , kadang untuk tombol kirim gak muncul ,,, agak kecewa padahal aplikasinya bagus;
antara aku engkau dan dia;5;23/10/2023 02:25;Aplikasi ini rekomendasi banget untuk keperluan transfer, tarik tunai atau terima Insentif Prakerja bisa cair lebih cepat. Top Up pulsa pun sangat banyak sekali untungnya Mulai dari harga diskon free transfer tanpa potongan meski hanya 10 kali tapi itu sudah sangat membantu.;
Dicki irwana Nurdin;1;05/10/2023 19:21;"Kayanya Aplikasi Dana, aplikasi yg PALING ENGGAK BISA MELAYANI konsumennya dengan baik.. 👎 Dari 2 tahun lalu mau proses pindah akun premium.. katanya ""sedang perbaikan sistem"" terus... dan paling sering perbaikan fitur layanan virtual.. jadi gak bisa ngatasi kendala denga baik.. mana aplikasinya sering terkendala lagi... harus mikir 1000x install Dana kalo mau uang kita selamat..";
Peta Indonesia 21;1;10/10/2023 10:46;Sering sekali aplikasi ini delay ketika udah topup saldo. Saldo sering tidak masuk aplikasi, padahal sudah ditopup, baik topup banking mobile maupun di Alfamart. Tolong diperbaiki dan untuk CS tolong jangan terlalu template dalam membalas. Soalnya kurang membantu sekali.;
Amru Amrullah;5;04/10/2023 04:39;sudah cukup baik dan banyak vocher yg sangat membantu, akan tetapi MOHON untuk ditingkatkan (ringankan) kinerja aplikasinya, sebab di hp ram 8 saja masih sering loading dan terasa berat, selebihnya sangat baik. terima kasih;
