,Judul,Penulis,Pembimbing I,Pembimbing II,Abstrak
0,OPTIMASI PEMILIHAN PORTOFOLIO SAHAM PERUSAHAAN SEKTOR TAMBANG DENGAN MENGGUNAKAN GOAL PROGRAMMING,Siliwangi Fitra Rachmawanto S.T.,"Heri Awalul Ilhamsah S.T., M.T.","Retno Indriartiningtias S.T., M.T.","Portofolio adalah sekumpulan saham yang dimiliki investor. Dalam setiap saham pada portofolio memiliki resiko yang harus diminimalkan dengan cara diversifikasi yaitu dengan mengalokasikan dana pada berbagai alternatif investasi pada kombinasi saham pada portofolio. Pada skripsi ini, saham yang digunakan berupa saham dari perusahan sektor tambang yang terdapat 4 subsektor didalamnya yaitu subsektor Batubara, subsektor batu-batuan, subsektor logam dan mineral lainnya, dan subsektor minyak dan gas bumi. Dari setiap subsektor tersebut terbentuk beberapa portofolio yang kemudian dilakukan optimasi dalam pemilihannya. Pada skripsi ini menggunakan goal programming untuk meminimalkan penyimpangan antara fungsi objektif dengan nilai ideal fungsi objektif yang menghasilkan proporsi dana yang harus diinvestasikan pada masing-masing saham. Hasil yang diperoleh dari goal programming pada setiap subsektor yaitu : subsektor batubara terdapat 4 portofolio efisien, subsektor batu-batuan terdapat 2 portofolio efisien, subsektor logam dan mineral lainnya terdapat 3 portofolio efisien dan subsektor minyak dan gas bumi terdapat 4 portofolio efisien serta proporsi dana yang harus diinvestasikan pada portofolio-portofolio pada setiap subsektor tersebut. Kata Kunci : Goal programming, Portofolio, Expected return, Resiko, Proporsi dana."
1,PERANCANGAN TATA LETAK FASILITAS LANTAI PRODUKSI PT. ABC MENGGUNAKAN MEDOTE SYSTEMATIC LAYOUT PLANNING (SLP) DAN ALGORITMA GENETIK,AHMAD MAS'UD,"SABARUDIN AKHMAD, S.T., M.T.","SUGENG PURWOKO, S.T., M.T.","PT. ABC merupakan perusahaan yang bergerak dibidang manufaktur kayu yaitu memproduksi meja, kursi dan lain-lain. Terdapat berbagai jenis mesin yang berada dalam lantai produksi PT. ABC untuk menunjang jalannya proses produksi, diantaranya yaitu : planner, ripsaw, sanding, dan mesin lainnya. Saat ini PT. ABC memiliki permasalahan dengan tataletak fasilitas, hal tersebut terlihat pada jarak perpindahan bahan dari stasiun kerja satu menuju stasiun kerja yang lainnya yang terlalu jauh. Tujuan penelitian ini adalah merancang alternatif layout yang bisa meminimalkan total momen perpindahan bahan dengan menggunakan metode SLP (Systematic Layout Planning) dan Algoritma Genetik. Setelah pengumpulan dan pengolahan data didapatkan hasil perhitungan tataletak awal lantai produksi perusahaan memberikan total momen sebesar 207.203 meter perpindahan per bulan. Metode SLP memberikan total momen sebesar 152.506 meter perpindahan per bulan, sedangkan dengan algoritma genetik diperoleh total momen sebesar 197.974 meter perpindahan per bulan."
2,PERUMUSAN STRATEGI BISNIS UD. BUDI JAYA BANGKALAN ?DENGAN PENDEKATAN MODEL FRED R. DAVID,Yulianto Fauzanta,"Fitri Agustina, S.T., M.T","Retno Indriartiningtias, S.T., M.T","Bangkalan merupakan salah satu kabupaten yang memiliki potensi alam salak. ?Potensi alam tersebut dimanfaatkan oleh UD. Budi Jaya yang terletak di Desa ?Kramat? Bangkalan dengan memproduksi produk olahan salak. Selama ini UD ?Budi Jaya menemui banyak kendala, diantaranya adalah mengenai pemasaran, ?produksi bahan baku, dan lain-lain. salah satu solusi kendala tersebut adalah ?dengan merancang strategi bisnis yang sesuai dengan kondisi UD Budi Jaya. ?Model strategi Fred R. David mempunyai tiga tahap yaitu tahap masukan, ?pencocokan dan pengambilan keputusan. Matriks-matriks yang digunakan pada ?penelitian ini adalah IFE (Internal Factor Evaluation), EFE (External Factor ?Evaluation), SWOT, IE (Internal-External) Matrix, GRAND STRATEGY Matrix ?dan QSPM (Quantitative Strategic Planning Matrix). Hasil penelitian ini adalah ?beberapa alternatif strategi diantaranya adalah Strategi 5 (S5) yaitu menciptakan ?produk olahan baru (diversikasi), Strategi 3 (S3) pengiklanan, Strategi 2 (S2) ?Pengembangan produk yaitu meningkatkan kualitas produk, Strategi 7 (S7) ?Melakukan kesepakatan harga dengan anggota kelompok tani yang lain, dan ?strategi 1 (S1) Memperluas pasar.?"
3,USULAN PERBAIKAN UTILITAS RESOURCES PADA LANTAI PRODUKSI PT INDOSPRING TBK DENGAN PENDEKATAN SIMULASI,M Mundir Muhlisin,Mu'alim ST MT,Sugeng Purwoko ST MT,"Simulasi adalah duplikasi atau abstraksi dari persoalan dalam kehidupan nyata ke dalam model matematika. Berdasarkan hasil survey pendahuluan di lantai produksi PT Indospring tbk masih sering terjadi proses produksi yang belum optimal, salah satunya terlihat dari masih adanya jumlah antrian yang cukup tinggi, dan juga target output produksi yang sering belum tercapai. Dengan pendekatan simulasi diharapkan dapat memberikan gambaran permasalahan yang ada pada lantai produksi PT Indospring tbk guna meningkatkan efektifitas dan efisiensi lini produksi dengan cara memperbaiki utilitas pada resources yang ada pada lantai produksi PT Indospring tbk. Berdasarkan hasil pengolahan data didapatkan jumlah antrian tertinggi pada stasiun proses shearing sebesar 610 entity dengan nilai utillitas pada mesin sebesar 88% dan utilitas tenaga kerja sebesar 44%. Setelah usulan perbaikan dilakukan dengan cara menambahkan 1 unit mesin shearing akan berdampak penurunan antrian pada proses shearing dan juga perubahan nilai utilitas pada mesin menjadi 46% dan utilitas tenaga kerja menjadi 46%."
4,"Peningkatan Kepuasan Masyarakat Terhadap Pelayanan Aparatur Kepolisian dengan Menggunakan Integrasi Importance Performance Analysis (IPA) dan Model Kano
(Studi Kasus pada Bagian Pengurusan Surat Izin",Muhibbin,Rahmad Hidayat,Retno Indriartiningtias,"Kepuasan adalah tingkat perasaan seseorang terhadap pelayanan setelah membandingkan antara kinerja dengan harapan yang diinginkan. Dalam penelitian ini dilakukan studi kualitas layanan dalam meningkatkan kepuasan masyrakat dengan menggunakan integrasi Importance Performance Analysis (IPA) dan Model Kano. Pendekatan ini bertujuan untuk membantu SATLANTAS kabupaten Sampang pada layanan pembuatan surat izin mengemudi dalam mengevaluasi kepuasan pemohon SIM serta mengidentifikasi atribut-atribut layanan yang fungsional dan disfungsional. Sehingga dengan pengintegrasian tersebut bisa mengetahui layanan yang menjadi prioritas utama untuk ditingkatkan. Hasil yang diperoleh nilai rata-rata untuk kepuasan adalah 3,306, sehingga dinilai cukup oleh pemohon SIM. Sedangkan dari hasil integrasi IPA dan Kano dapat diketahui bahwa atribut yang termasuk dalam kuadran I menjadi prioritas utama untuk ditingkatkan dengan kategori must-be dan one-Dimensional ,yaitu jumlah tempat duduk yang ada diruangan layanan SIM sudah mencukupi kebutuhan, jumlah komputer yang ada diruangan layanan SIM sudah mencukupi, sistem antrian yang ada di ruangan layanan SIM sudah rapi, para petugas layanan SIM dapat memberikan pelayanan yang dijanjikan, biaya yang ada di layanan SIM sesuai dengan ketentuan dan pelayanan dari petugas. Sedangkan kuadran III menjadi prioritas rendah untuk ditingkatkan dengan kategori attractive dan must-be, yaitu sarana informasi yang ada sudah lengkap, pemohon mudah melakukan hubungan dengan petugas layanan SIM dan pemohon dilayani dengan ramah oleh petugas layanan SIM.
Kata kunci : Kepuasan Terhadap Layanan, Integrasi IPA dan Kano"
5,Perencanaan Penjadwalan Dan Rute Terpendek Distribusi Premium PT. PERTAMINA Camplong Menggunakan Metode Distribution Requirement Planning (DRP)Dan Algoritma Dijkstra,Asri Maslihatin,"Heri Awalul Ilhamsah, S.T.M.T","Khamdi Mubarok, S.T.M.Eng","PT. Pertamina Terminal BBM (TBBM) Camplong adalah anak perusahaan Pertamina yang melayani pendistribusian BBM untuk wilayah Madura. Jumlah SPBU yang dilayani TBBM Camplong adalah 37 SPBU. Permintaan BBM untuk tiap SPBU per harinya tidak dapat dipastikan, sehingga distribusi BBM dengan keterbatasan jumlah mobil tangki yang ada tidak optimal. Untuk itu diperlukan penelitian penjadwalan distrbusi agar dapat mengoptimalkan pendistribusian BBM ke semua SPBU.
Dalam penelitian ini digunakan metode Distribution Requirement Planning (DRP) dan Algoritma Djikstra untuk membuat penjadwalan distribusi BBM. Langkah pertama adalah menginputkan data permintaan 60 periode (hari) sebelumnya untuk membuat peramalan permintaan 10 periode berikutnya. Langkah berikutnya menghitung besarnya lot untuk tiap SPBU dengan menggunakan teknik lot sizing EOQ. Selanjutnya disusun DRP Worksheet. Dengan demikian TBBM Camplong dapat melakukan penjadwalan distribusi yang optimal. Setelah dilakukan penjadwalan kemudian dicari rute terpendek yang akan dilalui oleh tiap mobil tangki dengan menggunakan Algoritma Dijkstra. Hasilnya menunjukkan untuk permintaan 24 kL lintasan terpendeknya adalah TBBM – SPBU – TBBM, sementara untuk permintaan 8 kL dan 16 kL bisa dua rute yaitu TBBM – SPBU – TBBM dan TBBM – SPBU1 – SPBU2 – TBBM. Dengan demikian, 22 mobil tangki dapat digunakan secara maksimal untuk memenuhi kebutuhan 37 SPBU di seluruh wilayah Madura.
Kata kunci : Peramalan, EOQ, Distribution Requirement Planning (DRP), Algoritma Dijktra."
6,USULAN PERBAIKAN PADA PROSES PRODUKSI BOTOL KACA DNGAN MENGGUNAKAN METODE LEAN SIX SIGMA (Studi Kasus : di PT. IGLAS Gresik),NINA ARIS RIANA,"M. IMRON MUSTAJIB., S.T., M.T","ARI BASUKI., S.T., M.T","Penelitian ini membahas tentang penggunaan metode  lean six sigma  pada proses produksi botol PANJI 275 ml di PT. IGLAS. Selama proses produksi ditemukan pemborosan-pemborosan yang terjadi.  Pemborosan yang terjadi antara lain,  lead time  proses produksi yang terlalu lama,  dan terjadinya  defect  yang tinggi.  Tujuan dari penelitian ini  yaitu mengetahui penyebab  terjadinya  waste. Setelah diketahui penyebab-penyebab terjadinya  waste, maka selanjutnya dilakukan usulan perbaikan untuk mengurangi terjadinya  waste.  Dari hasil penelitian yang dilakukan, maka didapat nilai sigma sebesar 2,3703 untuk periode I dan 2,2786 untuk periode II. Sedangkan dengan usulan pada aktivitas proses produksi yaitu dengan menggabungkan aktivitas sortir dengan pendinginan (annealing) maka, dapat mengurangi waktu  lead time  periode I dari 215,45 jam menjadi 170,30 jam atau selisih sebesar 41,15 jam, dan untuk periode II yaitu 261,82 jam menjadi 201,70 jam atau selisih 60,12 jam.
Kata kunci: lean six sigma, big picture mapping, proses produksi
"
7,"PERENCANAAN AGREGAT PRODUKSI PLYWOOD DENGAN TEKNIK GOAL PROGRAMMING (Studi Kasus : PT. TIRTA MAHAKAM RESOUCES Tbk, Gresik)",DINKA DAMIANA ULVA,"M. IMRON MUSTAJIB., S.T., M.T","HERI AWALUL ILHAMSAH., S.T., M.T","Penelitian ini membahas tentang penerapan metode goal programming pada perencanaan produksi di PT.Tirta Mahakam. Rencana produksi di perusahaan tersebut selama ini ditentukan berdasarkan jumlah pesanan yang ada tanpa memperhitungkan optimalisasi faktor produksi yang digunakan. Tujuan penerapan metode goal programming pada perencanaan produksinya adalah memaksimalkan keuntungan, memaksimalkan utilisasi mesin, dan meminimalkan biaya kualitas. Model goal programming yang digunakan merupakan pengembangan dari model optimalisasi perencanaan produksi yang dibuat oleh Leung dan Chan (2009). Hasil penelitian ini mengkonfirmasikan rencana produksi dengan menggunakan metode goal programming diperoleh keuntungan sebesar Rp 53.586.920.776,89. Besaran keuntungan tersebut melebihi target yang ditentukan perusahaan sebesar Rp 2.021.166.759,02. Selisih keuntungan tersebut dicapai dari penggunaan utilitas mesin selama 4.568,921 jam per tahun, dan biaya kualitas sebesar Rp 69.604.662.
Kata kunci: rencana produksi , model, goal programming, optimalisasi"
8,Pengaruh analisa jabatan terhadap motivasi kerja karyawan Fakultas Teknik Universitas Trunojoyo Madura,LAILI EKA WULANDARI,"RETNO INDRIARTININGTIAS.,ST.,MT","FITRI AGUSTINA.,ST.,MT","Universitas Trunojoyo Madura mempunyai beberapa Fakultas salah satunya adalah 
Fakultas Teknik.  Fakultas Teknik sendiri terdiri dari 5 program studi  yaitu  Teknik 
Informatika, Teknik Industri, Menejemen Informatika, Mekatronika, Multimedia dan 
Jaringan.  Setiap tahunnya  perkembangan  jumlah mahasiswa semakin bertambah  juga 
menyebabkan bertambahnya tugas  dan tanggung jawab karyawan Fakultas Teknik, dilain 
pihak jumlah pegawai cenderung tetap dan belum ada rekrutmen ataupun penambahan 
jumlah karyawan.  Tujuan penelitian ini adalah untuk merancang skenario perpindahan 
jabatan (job design) pada karyawan yang  diketahui memiliki beban kerja mental tinggi. 
Metode yang digunakan untuk mengetahui pengaruh analisa jabatan terhadap motivasi  kerja
yaitu component based SEM (Partial Least Square/PLS) sedangkan untuk menghitung beban 
kerja mental menggunakan metode NASA  TLX.  Berdasarkan hasil didapatkan nilai T-statistik 
hubungan antara analisa jabatan dengan motivasi kerja sebesar  18,286 (18,286>1,96)  yang 
membuktikan bahwa  terdapat pengaruh analisa jabatan terhadap motivasi dan hasil dari 
pengukuran beban kerja mental  menggunakan  NASA-TLX  terdapat tiga karyawan fakultas 
teknik yang memiliki beban kerja mental kategori tinggi (50-79) adalah Achmad Besuni, 
Tjahja Sirtu Virlaili, dan Harumi Berlianti. Sehingga perlunya dilakukan skenario 
perpindahan pekerjaan agar karyawan  yang beban mentalnya tinggi dapat berkurang menjadi 
kategori sedang (10-29) dan nantinya dapat memimalisasi adanya pekerjaan yang kurang 
optimal.
Kata Kunci  : Analisa Jabatan, Motivasi, NASA-TLX, Partial Least Square (PLS)"
9,"Pendekatan Quality Risk Management (QRM) Untuk Usulan Mengurangi Cacat Produk 
Pada Pt.Sumber Mas Indah Plywood,Gresik

",Valentine Megasari Sihombing,"Fitri Agustina ST.,MT","Retno Indriartiningtias, S.T., S.E., M.T","Cacat merupakan salah satu bentuk penyimpangan kualitas, untuk mengurangi cacat diperlukan pengendalian dalam tiap tahap proses produksinya. PT.Sumber Mas Indah Plywood Gresik memiliki departemen plywood yang mempunyai output produksi terbesar serta cacat terbanyak. Untuk meminimasi cacat dilakukan pendekatan Quality Rsik Management (QRM) yang merupakan proses sistematis untuk menilai, mengidentifikasi, mengontrol dan meninjau risiko pada kualitas produk. QRM menggunakan tool Failure Model Effect Analysis (FMEA) yang berfungsi untuk mengidentifikasi sumber dan akar penyebab dari masalah kualitas, dan metode Grey Theory yang berfungsi untuk menghilangkan subjektifitas dari preferensi penilaian severity, occurrence dan detection pada FMEA. Berdasarkan penilaian risiko didapatkan 42 potensial failure mode dengan RPN tertinggi sebesar 384 yakni tumpukan plywood yang jatuh dan RPN terendah sebesar 54 yaitu penentuan titik pusat kayu yang tidak tepat saat pembubutan, potongan kasar pada bagian permukaan dan tepi  kayu lapis dan penyusunan veneer face yang kurang tepat. Dari pemetaan level risiko ada 9 risiko yang berada pada daerah risk mitigation dimana 6 risiko mempunyai RPN yang sama. Salah satu prioritas pengendalian risiko adalah penyambungan veneer tumpang tindih, peniliti mengusulkan untuk memperbaharui alat srtipping tip dan penambahan 1 operator pada departemen repair 2, hal ini diusulkan untuk mengurangi cacat core lumpuk sebanyak 35,14 % selain itu pengendalian risiko untuk pelicinan permukaan yang tidak rata peneliti mengusulkan memperbaharui mata pahat pisau mesin press agar mengurangi cacat sarder sebanyak 20,32 %."
